variant,split,mean,std,count
base (Week-3 default),test,0.7350333333333333,0.012089802865776357,3
base (Week-3 default),val,0.7231333333333333,0.008764321612842218,3
dropout1=0.0,test,0.7414666666666667,0.002715388247255479,3
dropout1=0.0,val,0.7295666666666666,0.006334298172120829,3
dropout1=0.4,test,0.7355666666666666,0.016433603784116662,3
dropout1=0.4,val,0.7278666666666668,0.013702676137650407,3
hidden1=128,test,0.7416,0.017389939620366744,3
hidden1=128,val,0.7294,0.01188233983691764,3
hidden1=512,test,0.7475666666666667,0.005621684207898347,3
hidden1=512,val,0.7332000000000001,0.009114823092084686,3
lr=3e-3,test,0.7411333333333333,0.013147369825685033,3
lr=3e-3,val,0.7305,0.01408225834161552,3
lr=3e-4,test,0.7426,0.004942671342502956,3
lr=3e-4,val,0.731,0.0002645751311064299,3
